analysis_id,f3r88c2k56u9etk
parameter_name,Clavicle
gene_accession_id,MGI:1860103
parameter_id,IMPC_XRY_007_001
gene_symbol,Slc2a8
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8211682
