analysis_id,5kv49d2x8h0621p
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
pvalue,1.328572
mouse_life_stage,Early adult
parameter_id,MGP_IMM_026_001
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
