parameter_name,Tremor
mouse_life_stage,Early adult
pvalue,0.2853097
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
gene_symbol,Npbwr1
gene_accession_id,MGI:891989
analysis_id,r447r4742qm3405
