analysis_id,kcm3t8j6027l341
parameter_id,HMGULA_CBC_003_001
parameter_name,Chloride
pvalue,0.2156885
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
