analysis_id,0iq46k8kne4y4c9
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_070_001
gene_symbol,Ntmt2
gene_accession_id,MGI:2685053
pvalue,0.3438501
