Parameter_id,IMPC_GEO_009_002
Parameter_name,Hemorrhage
Gene_symbol,Bmi1
Pvalue,0.6673956
Mouse_strain,C57BL
Gene_accession_id,MGI:88174
Analysis_id,i81864v0395o54h
Mouse_life_stage,E15.5
