analysis_id,44wy12oc8d54400
mouse_life_stage,Early adult
parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
pvalue,0.5952214
parameter_name,Tibia length
