parameter_name,Response amplitude - S
gene_symbol,Orc2
analysis_id,n2hdx2o8och1zke
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.09621037
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:1328306
