parameter_name,Femur
analysis_id,0x7q9p3c3m4dan3
mouse_life_stage,Early adult
gene_symbol,Nemp2
gene_accession_id,MGI:2444113
parameter_id,IMPC_XRY_024_001
pvalue,0.7836331
mouse_strain,C57BL
