analysis_id,0a5052232c3215z
parameter_name,Activity (body position)
gene_accession_id,MGI:1921493
parameter_id,IMPC_CSD_029_001
pvalue,0.09381405
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Slx4ip
