parameter_name,Center resting time
gene_symbol,Sla2
analysis_id,tgd7k89a2g889d7
parameter_id,JAX_OFD_015_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5125926
gene_accession_id,MGI:1925049
