gene_symbol,Bmi1
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
analysis_id,5872kw92kh687q9
parameter_id,ESLIM_001_001_117
parameter_name,eye size
pvalue,0.4814221
mouse_strain,C57BL
