parameter_name,Glucose
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
parameter_id,IMPC_CBC_018_001
pvalue,0.2487217
gene_symbol,Eprs1
analysis_id,lg875226qlv7464
