analysis_id,n8707k23p08d5m5
pvalue,0.5788924
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Coat - hair distribution - back
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_id,IMPC_CSD_011_001
