gene_symbol,Tubb4b
mouse_life_stage,Early adult
parameter_id,MGP_PBI_015_001
gene_accession_id,MGI:1915472
parameter_name,IgD+ mature B cell percentage
pvalue,0.5593681
mouse_strain,C57BL
analysis_id,0qb4x44d6a17487
