analysis_id,o11531hj23o0tx3
pvalue,0.794821
mouse_life_stage,Early adult
parameter_name,Vocalization
gene_symbol,Trp53i11
mouse_strain,C57BL
gene_accession_id,MGI:2670995
parameter_id,IMPC_CSD_078_001
