gene_symbol,Opn3
parameter_id,IMPC_IMM_055_001
mouse_strain,C57BL
pvalue,0.786525
analysis_id,751krh2798ke099
mouse_life_stage,Early adult
parameter_name,NK Subsets (Q2)
gene_accession_id,MGI:1338022
