gene_symbol,Sprr1b
mouse_life_stage,Early adult
analysis_id,617tzwf331d5de8
parameter_id,MGP_IMM_131_001
mouse_strain,C57BL
pvalue,0.4682665
gene_accession_id,MGI:106659
parameter_name,CD103+ CD11b-low cDC - % of CD45+
