analysis_id,94240denxp9cix7
parameter_name,Caudal processes
pvalue,0.1692982
gene_symbol,Gja10
gene_accession_id,MGI:1339969
mouse_strain,C57BL
parameter_id,IMPC_XRY_067_001
mouse_life_stage,Early adult
