gene_symbol,Sla2
parameter_name,Shape of vertebrae
parameter_id,IMPC_XRY_018_001
analysis_id,014711lp7a9c6la
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
pvalue,0.3866797
mouse_strain,C57BL
