analysis_id,hk4kl899fyb0513
mouse_strain,C57BL
pvalue,0.06314716
parameter_name,Coat - color pattern - back
parameter_id,IMPC_CSD_008_001
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_life_stage,E12.5
