analysis_id,l7t0oye17ey49g0
gene_accession_id,MGI:1346344
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
mouse_strain,B6J
gene_symbol,Nr0b2
parameter_name,Radius
pvalue,0.3574308
