parameter_name,Center distance travelled
mouse_life_stage,E9.5
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
mouse_strain,C57BL
analysis_id,z6p89b978514u11
pvalue,0.2101246
