gene_symbol,Ncaph
parameter_id,MGP_CSD_030_001
pvalue,0.3451928
analysis_id,1g92v12sl31w71z
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444777
parameter_name,Limb coat/hair presence
