parameter_name,18kHz-evoked ABR Threshold
gene_symbol,Cd52
parameter_id,IMPC_ABR_008_001
analysis_id,65vx7b9405r0kxg
mouse_life_stage,Early adult
pvalue,0.6040893
gene_accession_id,MGI:1346088
mouse_strain,C57BL
