mouse_strain,C3H
pvalue,0.4450373
gene_symbol,Mecom
gene_accession_id,MGI:95457
analysis_id,960f12j51xhu84m
parameter_name,Retina (combined)
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_001
