analysis_id,t388y6qu9gi9sd9
pvalue,0.3789285
mouse_life_stage,Early adult
parameter_name,Follicular B Cells (CD21/35+)
mouse_strain,C57BL
parameter_id,IMPC_IMM_067_001
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
