analysis_id,121b4862by555c4
gene_accession_id,MGI:99915
gene_symbol,Lamb3
pvalue,0.6874668
mouse_strain,C57BL
parameter_id,JAXLA_OFD_017_001
mouse_life_stage,Early adult
parameter_name,Center average speed
