analysis_id,3736i0g4mj8ev3f
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.3317872
parameter_id,IMPC_DXA_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
