analysis_id,9ux96c08c8121hd
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
parameter_name,Total CD8+ T cells - % of ab T cells
gene_symbol,Cdin1
parameter_id,MGP_IMM_013_001
pvalue,0.7582259
mouse_strain,C57BL
