parameter_id,MGP_BMI_013_001
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.1410881
parameter_name,Immature B cells (Hardy fraction E) - % of CD45+
gene_symbol,Frmpd1
analysis_id,529wm5dn639ah10
gene_accession_id,MGI:2446274
