mouse_life_stage,Middle aged adult
parameter_id,JAXLA_HBD_001_001
pvalue,0.6528054
parameter_name,Total holepokes
mouse_strain,C57BL
analysis_id,6qo07as6ic7lb5e
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
