analysis_id,76f8mt5v1p33a98
gene_accession_id,MGI:1914583
pvalue,0.9431152
mouse_strain,C57BL
parameter_name,Glucose
gene_symbol,Stk35
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_018_001
