analysis_id,75i086y9s627069
mouse_strain,C57BL
parameter_name,Lymphocyte differential count
pvalue,0.876991
gene_symbol,Dnajc8
parameter_id,IMPC_HEM_031_001
gene_accession_id,MGI:1915848
mouse_life_stage,Early adult
