gene_symbol,Psd4
gene_accession_id,MGI:2674093
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
analysis_id,t7854slp6t7cc18
parameter_name,Fusion of vertebrae
mouse_life_stage,Early adult
pvalue,0.9037858
