gene_symbol,Nr0b2
mouse_strain,B6J
parameter_name,Resting NK cells - % of NK cells
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:1346344
analysis_id,123vt82xub03e19
pvalue,0.6656995
mouse_life_stage,Early adult
