analysis_id,743rh4rsm0j7m41
gene_accession_id,MGI:1913483
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
parameter_name,Humerus
pvalue,0.9191537
mouse_life_stage,E9.5
gene_symbol,Dmap1
