analysis_id,v3641672oyb49qu
parameter_name,Forebrain
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
pvalue,0.2279049
gene_symbol,Tbl1xr1
mouse_strain,C57BL
parameter_id,IMPC_GEL_028_001
