gene_symbol,Zc2hc1a
parameter_id,MGP_PBI_033_001
mouse_strain,C57BL
gene_accession_id,MGI:1914556
analysis_id,0w67w21y49atz01
pvalue,0.8294313
mouse_life_stage,Early adult
parameter_name,CD8+ KLRG1+ alpha beta T cell number
