analysis_id,89y58f6pe9zw4i0
gene_symbol,Cldn19
mouse_life_stage,Early adult
parameter_id,MGP_IMM_004_001
gene_accession_id,MGI:3033992
mouse_strain,C57BL
parameter_name,Total CD4+ T cells - % of ab T cells
pvalue,1.265404
