gene_symbol,Rab3gap2
parameter_name,BMC/Body weight
parameter_id,HRWLLA_DXA_007_001
analysis_id,zvrvfd44xjq0695
pvalue,0.2117866
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916043
