parameter_id,HRWLLA_OFD_017_001
analysis_id,0057w9d54ygd366
parameter_name,Center average speed
pvalue,0.6871272
mouse_strain,C57BL
gene_accession_id,MGI:1336200
gene_symbol,Hpca
mouse_life_stage,Middle aged adult
