analysis_id,3wo585k6ce43vbx
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
mouse_life_stage,Early adult
pvalue,0.3454833
mouse_strain,C57BL
gene_accession_id,MGI:3033992
gene_symbol,Cldn19
