parameter_name,lens
mouse_strain,C57BL
analysis_id,463tguzg30sgav1
mouse_life_stage,Early adult
pvalue,0.4451767
gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_id,M-G-P_014_001_009
