analysis_id,gk13x645h201957
pvalue,0.8373602
parameter_name,PP4 + pulse startle magnitude
gene_symbol,Frmpd1
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_id,ESLIM_011_001_010
mouse_life_stage,Late adult
