gene_symbol,Tiprl
mouse_life_stage,E9.5
analysis_id,rh112a5q0g24951
pvalue,0.1093599
gene_accession_id,MGI:1915087
parameter_id,MGP_CSD_015_001
mouse_strain,C57BL
parameter_name,Head coat/hair presence
