parameter_name,Hemorrhage
analysis_id,5ger3q7gg77a99n
gene_accession_id,MGI:1309468
pvalue,0.1572
mouse_strain,C57BL
gene_symbol,Casq1
parameter_id,IMPC_GEO_009_002
mouse_life_stage,Early adult
