gene_symbol,Ppm1j
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:1919137
pvalue,0.4259094
parameter_id,IMPC_IMM_005_002
mouse_strain,C57BL
analysis_id,9x15321nt9z2432
mouse_life_stage,Early adult
