gene_symbol,Nipal3
mouse_strain,129SV
analysis_id,jqqk3z7tc0a8yw2
parameter_name,Total NK cells - % of CD45+
pvalue,0.8641497
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
parameter_id,MGP_MLN_031_001
