parameter_name,Dark side time spent
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
analysis_id,g575t9ai4y7zv4m
pvalue,0.5890648
gene_symbol,Toporsl
parameter_id,JAX_LDT_004_001
