parameter_name,Fractional Shortening
gene_symbol,Bach2
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,75kn5ku9i5ba37l
gene_accession_id,MGI:894679
pvalue,0.6123044
parameter_id,IMPC_ECH_005_001
