Analysis_id,03nee1461g7s7ah
Mouse_life_stage,Early adult
Pvalue,0.4019819
Gene_symbol,Kdm4c
Parameter_id,ESLIM_011_001_009
Mouse_strain,C57BL
parameter_name,PP3 + pulse startle magnitude
gene_accession_id,MGI:1924054
