gene_symbol,Npbwr1
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_name,ST
pvalue,0.8276075
mouse_strain,C57BL
analysis_id,8g23wq8w933lw4a
parameter_id,IMPC_ECG_008_001
