analysis_id,4377wx5rup70c25
mouse_strain,C57BL
parameter_id,JAXLA_DXA_007_001
pvalue,0.5927621
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_name,BMC/Body weight
mouse_life_stage,E9.5
