parameter_id,IMPC_EYE_062_001
parameter_name,Right total retinal thickness
analysis_id,xr5e3182yu5io5g
mouse_life_stage,Early adult
pvalue,0.5597823
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
mouse_strain,C57BL
