analysis_id,g1l4718874vw761
parameter_id,IMPC_XRY_022_001
parameter_name,Radius
gene_symbol,Inpp1
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
pvalue,0.131917
mouse_strain,129SV
