parameter_name,Iron
pvalue,0.3005197
analysis_id,37n5053h5wv119n
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
parameter_id,IMPC_CBC_011_001
