gene_symbol,Tox
analysis_id,3k92h0md87586j6
pvalue,0.2108059
parameter_id,M-G-P_009_001_003
mouse_strain,C57BL
parameter_name,Body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
