analysis_id,6sm38jp857k4556
gene_accession_id,MGI:1332236
gene_symbol,Cds2
pvalue,0.7459046
parameter_id,IMPC_ACS_034_001
parameter_name,% Pre-pulse inhibition - PPI2
mouse_strain,C57BL
mouse_life_stage,Early adult
