parameter_name,Click-evoked ABR threshold
gene_symbol,Slc39a10
mouse_strain,C57BL
pvalue,0.499472
gene_accession_id,MGI:1914515
parameter_id,IMPC_ABR_002_001
mouse_life_stage,Early adult
analysis_id,ey9vb887ocf16nd
