analysis_id,464vwxgpl42r2b2
mouse_life_stage,Early adult
pvalue,0.3935984
gene_accession_id,MGI:96757
gene_symbol,Lcn2
mouse_strain,C57BL
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
