parameter_name,Eosinophil number
parameter_id,MGP_PBI_040_001
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
analysis_id,4101q214tlk24p5
gene_accession_id,MGI:109356
mouse_strain,C57BL
pvalue,0.9478551
