parameter_name,Hemoglobin
mouse_life_stage,Early adult
analysis_id,1d42435w22521e2
gene_accession_id,MGI:1921442
mouse_strain,C57BL
gene_symbol,Arpc5l
pvalue,0.9976068
parameter_id,IMPC_HEM_003_001
