parameter_id,TCPLA_XRY_033_001
Mouse_life_stage,Early adult
parameter_name,Tibia length
Analysis_id,29r11460437j258
gene_symbol,Zyg11b
Gene_accession_id,MGI:2685277
pvalue,0.3566993
Mouse_strain,C57BL
